knowledge_id,source_type,source_file,knowledge_category,chunk_index,content,keyword_tags
K0011,企业制度文档,库存预警处理制度.txt,库存预警处理制度,2,链食品，如库存低于安全库存或未来销量预测高于可用库存，应立即进入缺货预警，由采购人员确认补货数量和到货时间。C类低频商品，尤其是厨具和小家电配件，如库存金额高、,"制度,流程,规范,低空,配送,库存,退货"
K0012,企业制度文档,库存预警处理制度.txt,库存预警处理制度,3,周转天数长、近期销量低，应进入积压预警，可采取调拨到乡镇前置仓、捆绑促销、降价处理或暂停采购。预警处理需要记录责任人、处理建议和执行结果，便于经营报告生成和比赛,"制度,流程,规范,低空,配送,库存,退货"
K0013,企业制度文档,库存预警处理制度.txt,库存预警处理制度,4,现场复盘。对连续两期未处理的预警，系统应提升风险等级，并在经营问答模块中作为重点问题提示管理层。,"制度,流程,规范,低空,配送,库存,退货"
K0014,企业制度文档,退货处理流程.txt,退货处理流程,1,退货处理流程 客户发起退货后，客服人员应先核验订单编号、商品编号、签收时间、配送网点和退货原因。退货原因包括配送超时、商品破损、客户拒收、质量问题和地址错误。对,"制度,流程,规范,低空,配送,库存,退货"
K0015,企业制度文档,退货处理流程.txt,退货处理流程,2,生鲜粮油、农产品、冷链食品等时效敏感商品，若配送记录显示明显超时，应优先判定物流责任并快速退款。对厨具、小家电配件等低频商品，若出现质量问题或客户拒收，应同步反,"制度,流程,规范,低空,配送,库存,退货"
K0016,企业制度文档,退货处理流程.txt,退货处理流程,3,馈采购和仓储部门，评估是否存在库存积压、批次老化或包装不当。退款金额按照订单金额、责任归属和商品状态计算。退货处理进度应在系统中留痕，超过规定时限未处理的记录进,"制度,流程,规范,低空,配送,库存,退货"
K0017,企业制度文档,退货处理流程.txt,退货处理流程,4,入投诉预警清单。客服主管每周汇总退货原因排名，重点关注同一商品、同一网点或同一片区的异常集中情况，为采购调整、包装改进和配送考核提供依据。,"制度,流程,规范,低空,配送,库存,退货"
K0018,企业制度文档,配送超时处理规范.txt,配送超时处理规范,1,配送超时处理规范 配送中心应按照订单区域、道路等级、天气情况和网点服务能力制定计划配送时长。城区订单原则上当天或次日完成，乡镇订单需结合线路合并配送。系统发现实,"制度,流程,规范,低空,配送,库存,退货"
K0019,企业制度文档,配送超时处理规范.txt,配送超时处理规范,2,际配送时长超过计划时长后，应自动标记超时，并提示运营人员核查原因。常见原因包括雨雾大风天气、道路施工、乡镇网点车辆不足、订单波峰和客户地址不完整。对于生鲜、冷链,"制度,流程,规范,低空,配送,库存,退货"
K0020,企业制度文档,配送超时处理规范.txt,配送超时处理规范,3,、急件订单，超时风险一旦升高，应优先安排车辆或调整线路。东北片区、西南片区和北部片区属于重点监控区域，需定期比较超时率和投诉率。网点负责人应在24小时内反馈处理,"制度,流程,规范,低空,配送,库存,退货"
K0021,企业制度文档,配送超时处理规范.txt,配送超时处理规范,4,结果，必要时给予客户解释、补偿或退货协助。若同一网点连续多日超时，应由运营主管复盘路线、司机排班和装车顺序，并在系统中记录整改措施，作为后续网点服务能力评分依据,"制度,流程,规范,低空,配送,库存,退货"
K0022,企业制度文档,配送超时处理规范.txt,配送超时处理规范,5,。,"制度,流程,规范,低空,配送,库存,退货"
K0023,多模块指标摘要,ABC分类与库存风险,库存经营知识,1,A类商品32种，贡献70.4%销售额；C类商品110种，销售贡献10.3%，库存金额占比45.5%。缺货风险商品9种，建议清仓商品38种。,"库存,配送,低空,网点,经营决策"
K0024,多模块指标摘要,配送异常诊断,配送风险知识,1,异常配送订单216条，其中A类重点商品超时46条，生鲜冷链超时28条，超长配送订单96条。,"库存,配送,低空,网点,经营决策"
K0025,多模块指标摘要,网点异常汇总与风险评分,网点风险知识,1,高风险网点9个，其中乡镇高风险网点9个。风险来源包括道路等级、服务能力、历史超时率和重点商品超时。,"库存,配送,低空,网点,经营决策"
K0026,多模块指标摘要,低空应急配送,低空规划知识,1,K-Means将网点划分为4个配送优化片区，筛选候选起降点8个，推荐起降点3个；纳入低空规划订单28单，可低空覆盖28单。,"库存,配送,低空,网点,经营决策"
K0027,多模块指标摘要,综合行动建议,经营决策知识,1,企业应优先补货A类缺货商品、清仓C类高库存商品、优先处理A类和生鲜冷链超时订单，并在乡镇高风险片区试点低空应急配送。,"库存,配送,低空,网点,经营决策"
K0028,结果数据表,abc_result.csv,数据结果摘要,1,"abc_result.csv 包含200行、10列，主要字段包括：product_id, product_name, category, sales_90d, sales_amount_90d, out_freq_90d, stock_qty, stock_amount, cum_rate, abc_class。","数据表,指标,报告,RAG"
